dist,ele
11.4273,353.6000
11.4379,352.7000
11.4481,352.3000
11.4585,348.8000
11.4692,346.9000
11.4803,344.0000
11.4922,343.9000
11.5022,342.6000
11.5128,347.2000
11.5245,347.4000
11.5348,350.8000
11.5492,352.1000
11.5632,354.1000
11.5746,356.5000
11.5858,359.2000
11.5968,361.6000
11.6084,361.7000
11.6184,354.6000
11.6292,355.2000
11.6395,354.4000
11.6509,351.3000
11.6612,351.2000
11.6718,350.5000
11.6818,351.5000
11.6916,347.6000
11.7016,355.2000
11.7123,360.5000
11.7230,356.6000
11.7330,351.6000
