x,y,steps
4,25,3
4,26,3
4,27,4
4,28,2
4,29,3
4,30,3
4,31,4
4,32,2
4,33,3
4,34,3
4,35,4
4,36,2
4,37,3
4,38,3
4,39,4
4,40,2
4,41,3
4,42,3
4,43,4
4,44,2
4,45,3
4,46,3
4,47,4
4,48,2
4,49,3
4,50,3
4,51,4
4,52,2
4,53,3
4,54,3
4,55,4
4,56,2
4,57,3
4,58,3
4,59,4
4,60,2
4,61,3
4,62,3
4,63,4
4,64,2
4,65,3
4,66,3
4,67,4
4,68,2
4,69,3
4,70,3
4,71,4
4,72,2
4,73,3
4,74,3
4,75,4
4,76,2
4,77,3
4,78,3
4,79,4
4,80,2
4,81,3
4,82,3
4,83,4
4,84,2
4,85,3
4,86,3
4,87,4
4,88,2
4,89,3
4,90,3
4,91,4
