epoch,validationerror,testerror
926,0.195511,0.192057
927,0.19518,0.192353
928,0.195511,0.192353
929,0.195312,0.192116
930,0.195312,0.192294
931,0.195776,0.192472
932,0.195312,0.192294
933,0.195577,0.192472
934,0.195644,0.192412
935,0.195114,0.192472
936,0.195511,0.192176
937,0.195975,0.192827
938,0.194981,0.192294
939,0.19571,0.192768
940,0.195379,0.19259
941,0.195114,0.192945
942,0.195908,0.192472
943,0.19571,0.192886
944,0.195511,0.19259
945,0.195975,0.19259
946,0.19518,0.192708
947,0.195776,0.192708
948,0.194981,0.192886
949,0.195908,0.192708
950,0.195114,0.193123
951,0.195577,0.192945
952,0.195511,0.193004
953,0.195577,0.192886
954,0.195577,0.192827
955,0.195445,0.193004
956,0.19571,0.192945
957,0.195644,0.192945
958,0.194915,0.193182
959,0.195975,0.193182
960,0.195114,0.193182
961,0.195312,0.1933
962,0.195312,0.193182
963,0.195312,0.193123
964,0.195445,0.193182
965,0.195644,0.193063
966,0.195048,0.193063
967,0.195644,0.193359
968,0.194915,0.193359
969,0.196107,0.193359
970,0.194981,0.193478
971,0.195644,0.193537
972,0.194981,0.1933
973,0.195312,0.193182
974,0.195312,0.193478
975,0.195975,0.193714
976,0.194981,0.193419
977,0.195776,0.193596
978,0.194981,0.193655
979,0.195312,0.193774
980,0.195379,0.193655
981,0.195776,0.193655
982,0.195312,0.193596
983,0.196041,0.193714
984,0.195246,0.193596
985,0.195908,0.193951
986,0.194981,0.193714
987,0.195908,0.19407
988,0.195114,0.193774
989,0.195776,0.194129
990,0.195379,0.193478
991,0.195908,0.194188
992,0.195379,0.193892
993,0.195908,0.193833
994,0.195577,0.193714
995,0.19571,0.193714
996,0.19571,0.193892
997,0.195511,0.193655
998,0.195776,0.193833
999,0.195776,0.19401
1000,0.195842,0.193833
